,処理対象,No.,保険会社,保険商品,保険料,保険期間払込期間,特　徴,付加済
0,,1,FWD富士生命保険株式会社,FWD収入保障〔非喫煙者優良体/最低支払保証期間2年〕,"2,078円",65歳65歳,遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
1,,2,FWD富士生命保険株式会社,FWD収入保障〔非喫煙者優良体/最低支払保証期間2年〕　3大疾病保険料払込免除特約Ⅱ付加,"2,179円",65歳65歳,遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
2,,3,メディケア生命保険（住友生命グループ）,メディフィット収入保障　非喫煙者優良体料率　年金支払保証期間2年,"2,341円",65歳満了65歳満了,収入保障年金：月額10万円高度障害年金：月額10万円年金支払保証期間：2年＊非喫煙者優良体料率,
3,,4,Ｔ＆Ｄフィナンシャル生命,家計にやさしい収入保障 非喫煙者健康体保険料率,"2,350円",65歳満了65歳満了,遺族年金（高度障害年金）：月額10万円確定保証期間：2年,
4,,5,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年・非喫煙者健康体）,"2,410円",65歳65歳,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
5,,6,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(SD非喫煙者優良体),"2,440円",65歳満了65歳満了,※SD非喫煙者優良体保険料率収入保障年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
6,,7,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・非喫煙者健康体),"2,456円",65歳65歳払,年金月額：10万円年金支払保証期間：2年※非喫煙者健康体保険料率,
7,,8,メディケア生命保険（住友生命グループ）,メディフィット収入保障　非喫煙者優良体料率　年金支払保証期間2年　３大疾病保険料払込免除特約あり,"2,530円",65歳満了65歳満了,収入保障年金：月額10万円高度障害年金：月額10万円年金支払保証期間：2年＊非喫煙者優良体料率＊３大疾病保険料払込免除特約あり上皮内がんでも、以後の保険料はいただきません。,
8,,9,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(非喫煙者優良体),"2,540円",65歳満了65歳満了,※非喫煙者優良体保険料率収入保障年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
9,,10,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・非喫煙者健康体) 特定疾病保険料払込免除特約(2018)Ⅰ型,"2,549円",65歳65歳払,年金月額：10万円年金支払保証期間：2年※特定疾病保険料払込免除特約(2018)Ⅰ型付加※非喫煙者健康体保険料率,
10,,11,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年・非喫煙者健康体・P免あり）,"2,550円",65歳65歳,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
11,,12,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・非喫煙者健康体) 特定疾病保険料払込免除特約(2018)Ⅱ型,"2,574円",65歳65歳払,年金月額：10万円年金支払保証期間：2年※特定疾病保険料払込免除特約(2018)Ⅱ型付加※非喫煙者健康体保険料率,
12,,13,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・非喫煙者健康体) 特定疾病保険料払込免除特約(2018)Ⅲ型,"2,606円",65歳65歳払,年金月額：10万円年金支払保証期間：2年※特定疾病保険料払込免除特約(2018)Ⅲ型付加※非喫煙者健康体保険料率,
13,,14,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(SD非喫煙者優良体),"2,630円",65歳満了65歳満了,※SD非喫煙者優良体保険料率収入保障年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
14,,15,Ｔ＆Ｄフィナンシャル生命,家計にやさしい収入保障 非喫煙者健康体保険料率　特定疾病保険料払込免除ワイド特則,"2,680円",65歳満了65歳満了,遺族年金（高度障害年金）：月額10万円確定保証期間：2年【特定疾病保険料払込免除ワイド特則適用】,
15,,16,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年逓減払込・非喫煙者健康体）,"2,720円",65歳65歳,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
16,,17,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(非喫煙者優良体),"2,730円",65歳満了65歳満了,※非喫煙者優良体保険料率収入保障年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
17,,18,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年逓減払込・非喫煙者健康体・P免あり）,"2,860円",65歳65歳,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
18,,19,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(SD非喫煙者標準体),"2,880円",65歳満了65歳満了,※SD非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
19,,20,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(非喫煙者標準体),"2,970円",65歳満了65歳満了,※非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
20,,21,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(SD非喫煙者標準体),"3,090円",65歳満了65歳満了,※SD非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
21,,22,FWD富士生命保険株式会社,FWD収入保障〔非喫煙者標準体/最低支払保証期間2年〕,"3,107円",65歳65歳,遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
22,,23,メットライフ生命保険株式会社,マイディアレスト(非喫煙保険料率　確定保証期間2年),"3,110円",65歳65歳満了,※この商品は基本コース(Ⅰ型)です遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
23,,24,マニュライフ生命保険株式会社,こだわり収入保障(無解約返戻金型),"3,120円",65歳65歳満了,※優良体保険料率遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
24,,25,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年・非喫煙者標準体）,"3,170円",65歳65歳,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
25,,26,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(非喫煙者標準体),"3,190円",65歳満了65歳満了,※非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
26,,27,ソニー生命保険,家族収入保険（最低支払保証期間２年・非喫煙者優良体保険料率）,"3,210円",65歳65歳満了,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
27,,28,メディケア生命保険（住友生命グループ）,メディフィット収入保障　非喫煙者標準体料率　年金支払保証期間2年,"3,254円",65歳満了65歳満了,収入保障年金：月額10万円高度障害年金：月額10万円年金支払保証期間：2年＊非喫煙者標準体料率,
28,,29,マニュライフ生命保険株式会社,こだわり収入保障(無解約返戻金型),"3,270円",65歳65歳満了,※優良体保険料率　特定疾病保険料払込免除遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
29,,30,アクサダイレクト生命保険株式会社,アクサダイレクトの収入保障２ 年金支払保証期間２年,"3,300円",65歳満了65歳満了,死亡年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
30,,31,FWD富士生命保険株式会社,FWD収入保障〔非喫煙者標準体/最低支払保証期間2年〕　3大疾病保険料払込免除特約Ⅱ付加,"3,319円",65歳65歳,遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
31,,32,マニュライフ生命保険株式会社,こだわり収入保障(無解約返戻金型),"3,330円",65歳65歳満了,※非喫煙者保険料率遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
32,,33,Ｔ＆Ｄフィナンシャル生命,家計にやさしい収入保障,"3,350円",65歳満了65歳満了,遺族年金（高度障害年金）：月額10万円確定保証期間：2年,
33,,34,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年・非喫煙者標準体・P免あり）,"3,350円",65歳65歳,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
34,,35,東京海上日動あんしん生命,家計保障定期保険NEO(最低支払保証期間2年・非喫煙者保険料率適用),"3,440円",65歳まで65歳まで,＊非喫煙者保険料率適用遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
35,,36,ソニー生命保険,家族収入保険（最低支払保証期間２年・非喫煙者標準体保険料率）,"3,470円",65歳65歳満了,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
36,,37,マニュライフ生命保険株式会社,こだわり収入保障(無解約返戻金型),"3,490円",65歳65歳満了,※非喫煙者保険料率　特定疾病保険料払込免除遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
37,,38,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(標準体),"3,490円",65歳満了65歳満了,※標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
38,,39,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年）,"3,500円",65歳65歳,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
39,,40,メディケア生命保険（住友生命グループ）,メディフィット収入保障　非喫煙者標準体料率　年金支払保証期間2年　３大疾病保険料払込免除特約あり,"3,517円",65歳満了65歳満了,収入保障年金：月額10万円高度障害年金：月額10万円年金支払保証期間：2年＊非喫煙者標準体料率＊３大疾病保険料払込免除特約あり上皮内がんでも、以後の保険料はいただきません。,
40,,41,アフラック,GIFT（非喫煙保険料率/支払保証期間2年） 三大疾病保険料払込免除特約なし,"3,540円",65歳65歳払済,家族生活保障月払年金：月額10万円高度障害月払年金：月額10万円確定保証期間：2年,
41,,42,三井住友海上あいおい生命保険（株）,新総合収入保障(Ⅱ型)(最低支払保証期間2年)(SD非喫煙者優良体),"3,570円",65歳満了65歳満了,※SD非喫煙者優良体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：月額10万円確定保証期間：2年,
42,,43,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年逓減払込・非喫煙者標準体）,"3,580円",65歳65歳,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
43,,44,アフラック,GIFT（非喫煙保険料率/支払保証期間2年） 三大疾病保険料払込免除特約付き,"3,620円",65歳65歳払済,家族生活保障月払年金：月額10万円高度障害月払年金：月額10万円確定保証期間：2年,
44,,45,三井住友海上あいおい生命保険（株）,新総合収入保障(Ⅱ型)(最低支払保証期間2年)(非喫煙者優良体),"3,660円",65歳満了65歳満了,※非喫煙者優良体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：月額10万円確定保証期間：2年,
45,,46,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年・P免あり）,"3,700円",65歳65歳,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
