,処理対象,No.,保険会社,保険商品,保険料,保険期間払込期間,特　徴,付加済
0,,1,メディケア生命保険（住友生命グループ）,メディフィット収入保障　非喫煙者優良体料率　年金支払保証期間2年,"1,772円",60歳満了60歳満了,収入保障年金：月額10万円高度障害年金：月額10万円年金支払保証期間：2年＊非喫煙者優良体料率,
1,,2,Ｔ＆Ｄフィナンシャル生命,家計にやさしい収入保障 非喫煙者健康体保険料率,"1,810円",60歳満了60歳満了,遺族年金（高度障害年金）：月額10万円確定保証期間：2年,
2,,3,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・非喫煙者健康体),"1,828円",60歳60歳払,年金月額：10万円年金支払保証期間：2年※非喫煙者健康体保険料率,
3,,4,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年・非喫煙者健康体）,"1,850円",60歳60歳,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
4,,5,メディケア生命保険（住友生命グループ）,メディフィット収入保障　非喫煙者優良体料率　年金支払保証期間2年　３大疾病保険料払込免除特約あり,"1,878円",60歳満了60歳満了,収入保障年金：月額10万円高度障害年金：月額10万円年金支払保証期間：2年＊非喫煙者優良体料率＊３大疾病保険料払込免除特約あり上皮内がんでも、以後の保険料はいただきません。,
5,,6,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・非喫煙者健康体) 特定疾病保険料払込免除特約(2018)Ⅰ型,"1,878円",60歳60歳払,年金月額：10万円年金支払保証期間：2年※特定疾病保険料払込免除特約(2018)Ⅰ型付加※非喫煙者健康体保険料率,
6,,7,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・非喫煙者健康体) 特定疾病保険料払込免除特約(2018)Ⅱ型,"1,891円",60歳60歳払,年金月額：10万円年金支払保証期間：2年※特定疾病保険料払込免除特約(2018)Ⅱ型付加※非喫煙者健康体保険料率,
7,,8,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・非喫煙者健康体) 特定疾病保険料払込免除特約(2018)Ⅲ型,"1,907円",60歳60歳払,年金月額：10万円年金支払保証期間：2年※特定疾病保険料払込免除特約(2018)Ⅲ型付加※非喫煙者健康体保険料率,
8,,9,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年・非喫煙者健康体・P免あり）,"1,940円",60歳60歳,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
9,,10,Ｔ＆Ｄフィナンシャル生命,家計にやさしい収入保障 非喫煙者健康体保険料率　特定疾病保険料払込免除ワイド特則,"2,000円",60歳満了60歳満了,遺族年金（高度障害年金）：月額10万円確定保証期間：2年【特定疾病保険料払込免除ワイド特則適用】,
10,,11,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(SD非喫煙者優良体),"2,040円",60歳満了60歳満了,※SD非喫煙者優良体保険料率収入保障年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
11,,12,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年逓減払込・非喫煙者健康体）,"2,090円",60歳60歳,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
12,,13,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(非喫煙者優良体),"2,120円",60歳満了60歳満了,※非喫煙者優良体保険料率収入保障年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
13,,14,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(SD非喫煙者優良体),"2,150円",60歳満了60歳満了,※SD非喫煙者優良体保険料率収入保障年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
14,,15,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年逓減払込・非喫煙者健康体・P免あり）,"2,170円",60歳60歳,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
15,,16,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(非喫煙者優良体),"2,230円",60歳満了60歳満了,※非喫煙者優良体保険料率収入保障年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
16,,17,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(SD非喫煙者標準体),"2,370円",60歳満了60歳満了,※SD非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
17,,18,メットライフ生命保険株式会社,マイディアレスト(非喫煙保険料率　確定保証期間2年),"2,400円",60歳60歳満了,※この商品は基本コース(Ⅰ型)です遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
18,,19,FWD富士生命保険株式会社,FWD収入保障〔非喫煙者標準体/最低支払保証期間2年〕,"2,430円",60歳60歳,遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
19,,20,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(非喫煙者標準体),"2,440円",60歳満了60歳満了,※非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
20,,21,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年・非喫煙者標準体）,"2,450円",60歳60歳,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
21,,22,アクサダイレクト生命保険株式会社,アクサダイレクトの収入保障２ 年金支払保証期間２年,"2,480円",60歳満了60歳満了,死亡年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
22,,23,メディケア生命保険（住友生命グループ）,メディフィット収入保障　非喫煙者標準体料率　年金支払保証期間2年,"2,499円",60歳満了60歳満了,収入保障年金：月額10万円高度障害年金：月額10万円年金支払保証期間：2年＊非喫煙者標準体料率,
23,,24,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(SD非喫煙者標準体),"2,500円",60歳満了60歳満了,※SD非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
24,,25,マニュライフ生命保険株式会社,こだわり収入保障(無解約返戻金型),"2,530円",60歳60歳満了,※優良体保険料率遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
25,,26,Ｔ＆Ｄフィナンシャル生命,家計にやさしい収入保障,"2,550円",60歳満了60歳満了,遺族年金（高度障害年金）：月額10万円確定保証期間：2年,
26,,27,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年・非喫煙者標準体・P免あり）,"2,560円",60歳60歳,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
27,,28,FWD富士生命保険株式会社,FWD収入保障〔非喫煙者標準体/最低支払保証期間2年〕　3大疾病保険料払込免除特約Ⅱ付加,"2,565円",60歳60歳,遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
28,,29,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(非喫煙者標準体),"2,590円",60歳満了60歳満了,※非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
29,,30,マニュライフ生命保険株式会社,こだわり収入保障(無解約返戻金型),"2,620円",60歳60歳満了,※優良体保険料率　特定疾病保険料払込免除遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
30,,31,メディケア生命保険（住友生命グループ）,メディフィット収入保障　非喫煙者標準体料率　年金支払保証期間2年　３大疾病保険料払込免除特約あり,"2,648円",60歳満了60歳満了,収入保障年金：月額10万円高度障害年金：月額10万円年金支払保証期間：2年＊非喫煙者標準体料率＊３大疾病保険料払込免除特約あり上皮内がんでも、以後の保険料はいただきません。,
31,,32,東京海上日動あんしん生命,家計保障定期保険NEO(最低支払保証期間2年・非喫煙者保険料率適用),"2,700円",60歳まで60歳まで,＊非喫煙者保険料率適用遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
32,,33,マニュライフ生命保険株式会社,こだわり収入保障(無解約返戻金型),"2,720円",60歳60歳満了,※非喫煙者保険料率遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
33,,34,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年）,"2,730円",60歳60歳,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
34,,35,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年逓減払込・非喫煙者標準体）,"2,760円",60歳60歳,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
35,,36,アフラック,GIFT（非喫煙保険料率/支払保証期間2年） 三大疾病保険料払込免除特約なし,"2,770円",60歳60歳払済,家族生活保障月払年金：月額10万円高度障害月払年金：月額10万円確定保証期間：2年,
36,,37,マニュライフ生命保険株式会社,こだわり収入保障(無解約返戻金型),"2,810円",60歳60歳満了,※非喫煙者保険料率　特定疾病保険料払込免除遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
37,,38,Ｔ＆Ｄフィナンシャル生命,家計にやさしい収入保障　特定疾病保険料払込免除ワイド特則,"2,810円",60歳満了60歳満了,遺族年金（高度障害年金）：月額10万円確定保証期間：2年【特定疾病保険料払込免除ワイド特則適用】,
38,,39,アフラック,GIFT（非喫煙保険料率/支払保証期間2年） 三大疾病保険料払込免除特約付き,"2,820円",60歳60歳払済,家族生活保障月払年金：月額10万円高度障害月払年金：月額10万円確定保証期間：2年,
39,,40,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年・P免あり）,"2,840円",60歳60歳,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
40,,41,メディケア生命保険（住友生命グループ）,メディフィット収入保障　喫煙者料率　年金支払保証期間2年,"2,844円",60歳満了60歳満了,収入保障年金：月額10万円高度障害年金：月額10万円年金支払保証期間：2年＊喫煙者料率,
41,,42,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(標準体),"2,870円",60歳満了60歳満了,※標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
42,,43,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年逓減払込・非喫煙者標準体・P免あり）,"2,870円",60歳60歳,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
43,,44,東京海上日動あんしん生命,家計保障定期保険NEO(最低支払保証期間2年・非喫煙者保険料率適用) 特定疾病保険料払込免除特則付加,"2,900円",60歳まで60歳まで,＊非喫煙者保険料率適用遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
44,,45,三井住友海上あいおい生命保険（株）,新総合収入保障(Ⅱ型)(最低支払保証期間2年)(SD非喫煙者優良体),"2,940円",60歳満了60歳満了,※SD非喫煙者優良体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：月額10万円確定保証期間：2年,
45,,46,メットライフ生命保険株式会社,マイディアレスト(喫煙保険料率　確定保証期間2年),"2,990円",60歳60歳満了,※この商品は基本コース(Ⅰ型)です遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
46,,47,メディケア生命保険（住友生命グループ）,メディフィット収入保障　喫煙者料率　年金支払保証期間2年　３大疾病保険料払込免除特約あり,"3,014円",60歳満了60歳満了,収入保障年金：月額10万円高度障害年金：月額10万円年金支払保証期間：2年＊喫煙者料率＊３大疾病保険料払込免除特約あり上皮内がんでも、以後の保険料はいただきません。,
47,,48,三井住友海上あいおい生命保険（株）,新総合収入保障(Ⅱ型)(最低支払保証期間2年)(非喫煙者優良体),"3,020円",60歳満了60歳満了,※非喫煙者優良体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：月額10万円確定保証期間：2年,
48,,49,東京海上日動あんしん生命,家計保障定期保険NEO(最低支払保証期間2年),"3,040円",60歳まで60歳まで,＊標準料率遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
49,,50,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(標準体),"3,050円",60歳満了60歳満了,※標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
50,,51,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年逓減払込）,"3,060円",60歳60歳,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
51,,52,三井住友海上あいおい生命保険（株）,新総合収入保障(Ⅱ型)(最低支払保証期間2年)(SD非喫煙者優良体),"3,110円",60歳満了60歳満了,※SD非喫煙者優良体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：月額10万円確定保証期間：2年,
52,,53,ソニー生命保険,家族収入保険（最低支払保証期間２年）,"3,140円",60歳60歳満了,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
53,,54,FWD富士生命保険株式会社,FWD収入保障〔喫煙者標準体/最低支払保証期間2年〕,"3,148円",60歳60歳,遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
54,,55,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・標準体),"3,163円",60歳60歳払,年金月額：10万円年金支払保証期間：2年※標準体保険料率,
55,,56,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年逓減払込・P免あり）,"3,170円",60歳60歳,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
56,,57,三井住友海上あいおい生命保険（株）,新総合収入保障(Ⅱ型)(最低支払保証期間2年)(非喫煙者優良体),"3,210円",60歳満了60歳満了,※非喫煙者優良体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：月額10万円確定保証期間：2年,
57,,58,ソニー生命保険,生活保障特則14付家族収入保険（最低支払保証期間２年・非喫煙者優良体保険料率）,"3,250円",60歳60歳満了,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
58,,59,三井住友海上あいおい生命保険（株）,新総合収入保障(Ⅱ型)(最低支払保証期間2年)(SD非喫煙者標準体),"3,270円",60歳満了60歳満了,※SD非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：月額10万円確定保証期間：2年,
59,,60,東京海上日動あんしん生命,家計保障定期保険NEO(最低支払保証期間2年) 特定疾病保険料払込免除特則付加,"3,290円",60歳まで60歳まで,＊標準料率遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
60,,61,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・標準体) 特定疾病保険料払込免除特約(2018)Ⅰ型,"3,292円",60歳60歳払,年金月額：10万円年金支払保証期間：2年※特定疾病保険料払込免除特約(2018)Ⅰ型付加※標準体保険料率,
61,,62,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・標準体) 特定疾病保険料払込免除特約(2018)Ⅱ型,"3,331円",60歳60歳払,年金月額：10万円年金支払保証期間：2年※特定疾病保険料払込免除特約(2018)Ⅱ型付加※標準体保険料率,
62,,63,FWD富士生命保険株式会社,FWD収入保障〔喫煙者標準体/最低支払保証期間2年〕　3大疾病保険料払込免除特約Ⅱ付加,"3,337円",60歳60歳,遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
63,,64,ソニー生命保険,家族収入保険（最低支払保証期間２年）,"3,350円",60歳60歳満了,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
64,,65,三井住友海上あいおい生命保険（株）,新総合収入保障(Ⅱ型)(最低支払保証期間2年)(非喫煙者標準体),"3,350円",60歳満了60歳満了,※非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：月額10万円確定保証期間：2年,
65,,66,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・標準体) 特定疾病保険料払込免除特約(2018)Ⅲ型,"3,378円",60歳60歳払,年金月額：10万円年金支払保証期間：2年※特定疾病保険料払込免除特約(2018)Ⅲ型付加※標準体保険料率,
66,,67,ソニー生命保険,生活保障特則14付家族収入保険（最低支払保証期間２年・非喫煙者優良体保険料率）,"3,468円",60歳60歳満了,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
67,,68,三井住友海上あいおい生命保険（株）,新総合収入保障(Ⅱ型)(最低支払保証期間2年)(SD非喫煙者標準体),"3,490円",60歳満了60歳満了,※SD非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：月額10万円確定保証期間：2年,
68,,69,三井住友海上あいおい生命保険（株）,新総合収入保障(Ⅱ型)(最低支払保証期間2年)(非喫煙者標準体),"3,570円",60歳満了60歳満了,※非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：月額10万円確定保証期間：2年,
69,,70,ソニー生命保険,生活保障特則14付家族収入保険（最低支払保証期間２年・非喫煙者標準体保険料率）,"3,660円",60歳60歳満了,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
70,,71,東京海上日動あんしん生命,家計保障定期保険NEO 就業不能保障プラン(最低支払保証期間2年・非喫煙者保険料率適用),"3,670円",60歳まで60歳まで,＊非喫煙者保険料率適用＊5疾病・重度介護家計保障特約(給付金：月額10万円/給付金支払期間2年)が付加されています。遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
71,,72,三井住友海上あいおい生命保険（株）,新総合収入保障ワイド(Ⅳ型)(最低支払保証期間2年)(SD非喫煙者優良体),"3,710円",60歳満了60歳満了,※SD非喫煙者優良体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：	月額10万円就労不能障害年金：月額10万円確定保証期間：2年,
72,,73,マニュライフ生命保険株式会社,こだわり収入保障(無解約返戻金型),"3,750円",60歳60歳満了,※標準保険料率遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
73,,74,三井住友海上あいおい生命保険（株）,新総合収入保障(Ⅱ型)(最低支払保証期間2年)(標準体),"3,770円",60歳満了60歳満了,※標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：月額10万円確定保証期間：2年,
74,,75,三井住友海上あいおい生命保険（株）,新総合収入保障ワイド(Ⅳ型)(最低支払保証期間2年)(非喫煙者優良体),"3,800円",60歳満了60歳満了,※非喫煙者優良体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：	月額10万円就労不能障害年金：月額10万円確定保証期間：2年,
75,,76,アフラック,GIFT（標準体保険料率/支払保証期間2年） 三大疾病保険料払込免除特約なし,"3,840円",60歳60歳払済,家族生活保障月払年金：月額10万円高度障害月払年金：月額10万円確定保証期間：2年,
76,,77,東京海上日動あんしん生命,家計保障定期保険NEO 就業不能保障プランPlus(最低支払保証期間2年・非喫煙者保険料率適用),"3,850円",60歳まで60歳まで,＊非喫煙者保険料率適用＊5疾病・障害・重度介護家計保障特約(給付金：月額10万円/給付金支払期間2年)が付加されています。遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
